Year,temp_anomaly,co2
1984,0.16,344.07
1985,0.12,345.54
1986,0.18,346.97
1987,0.32,348.68
1988,0.39,351.16
1989,0.27,352.79
1990,0.45,354.06
1991,0.4,355.39
1992,0.22,356.09
1993,0.23,356.83
1994,0.31,358.33
1995,0.44,360.17
1996,0.33,361.93
1997,0.47,363.05
1998,0.61,365.7
1999,0.38,367.79
2000,0.39,368.96
2001,0.53,370.57
2002,0.63,372.58
2003,0.62,375.14
2004,0.53,376.95
2005,0.68,378.98
2006,0.64,381.15
2007,0.66,382.9
2008,0.54,385.02
2009,0.66,386.5
2010,0.73,388.75
2011,0.61,390.62
2012,0.65,392.65
2013,0.68,395.4
2014,0.75,397.34
2015,0.9,399.65
2016,1.01,403.07
2017,0.92,405.22
2018,0.85,407.61
2019,0.98,410.07
2020,1.01,412.44
2021,0.85,414.7
2022,0.89,417.08
2023,1.17,419.32
